no_of_dependents,education_encoded,self_employed_encoded,income_annum,loan_amount,loan_term,cibil_score_encoded,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status_encoded
3,1,1,1000000,2500000,6,4,2900000,600000,2000000,500000,1
0,1,0,5400000,18400000,8,2,12100000,3000000,13000000,4800000,1
2,1,0,4200000,16800000,4,4,6500000,4500000,10500000,5800000,1
2,0,0,7500000,22400000,14,3,8100000,3900000,15300000,9400000,1
4,1,0,1200000,3300000,2,2,2200000,500000,4700000,1100000,1
4,1,1,6300000,14500000,10,1,3800000,12300000,16500000,5700000,0
4,1,1,300000,900000,4,4,300000,400000,600000,400000,1
3,1,0,7400000,28800000,8,1,20000000,7900000,23600000,7200000,0
5,0,0,2200000,5400000,12,4,4900000,3300000,7000000,1600000,1
5,1,0,4000000,9100000,10,1,600000,6400000,9900000,5500000,0
4,1,1,2700000,10400000,16,3,6100000,3700000,5600000,4000000,1
0,0,1,2000000,6900000,4,1,4900000,1600000,4200000,3000000,1
4,0,0,6400000,14800000,6,1,2300000,3700000,18600000,6500000,0
5,0,1,1400000,5100000,4,1,2100000,900000,4000000,1300000,1
0,0,1,2800000,6300000,12,2,4100000,0,8700000,2300000,1
2,0,1,8200000,28700000,14,1,23300000,16100000,17700000,4300000,0
3,0,0,9000000,26700000,14,2,5300000,0,31300000,5200000,1
5,0,1,800000,2100000,12,1,1200000,1000000,3100000,900000,0
4,0,1,6100000,21200000,6,4,700000,7200000,22300000,6100000,1
4,0,1,2400000,9400000,2,4,3700000,300000,7100000,3500000,1
4,1,1,6000000,17000000,12,2,15300000,3200000,22100000,3900000,1
2,0,1,7900000,22500000,6,2,8100000,5300000,17900000,8100000,1
3,1,1,9500000,25700000,18,1,16900000,13600000,29300000,10100000,0
3,0,1,1800000,6400000,20,1,1500000,2900000,4400000,1300000,0
3,0,1,5800000,14100000,12,3,11700000,4400000,15400000,8400000,1
3,1,0,2800000,9400000,10,1,7000000,3500000,7700000,1500000,0
3,1,1,4000000,8300000,8,1,3700000,7400000,15200000,5900000,0
1,0,0,1000000,3400000,18,2,2300000,400000,3100000,1200000,1
0,1,0,9100000,21100000,20,2,5900000,6200000,33700000,5600000,1
0,1,0,4600000,18100000,14,1,2800000,200000,15600000,3300000,0
2,0,0,7800000,16900000,6,4,17400000,6300000,20400000,11700000,1
4,1,1,6600000,18800000,10,1,16500000,9500000,20000000,6200000,0
5,0,0,9800000,26600000,12,3,5200000,2900000,22500000,14100000,1
1,1,0,7400000,26600000,18,1,2200000,2400000,22400000,3900000,0
3,1,1,4300000,16600000,10,2,5700000,3700000,12800000,5800000,1
2,0,1,9800000,34600000,16,4,12400000,14900000,34700000,6100000,1
5,0,0,1100000,3900000,20,4,3200000,1200000,3800000,1100000,1
3,1,1,8600000,21800000,20,2,5300000,8800000,24000000,9100000,1
0,0,1,9400000,35500000,16,2,9300000,11800000,30500000,5800000,1
3,1,1,5300000,20300000,14,1,15000000,0,17200000,5900000,0
1,0,1,8700000,33800000,18,2,18300000,11500000,31500000,5900000,1
3,1,1,4800000,14200000,12,1,10400000,700000,9800000,2400000,0
4,0,0,4400000,9800000,18,3,2400000,2400000,15100000,4400000,1
1,1,1,5400000,19300000,12,4,5000000,1800000,20300000,6500000,1
5,0,1,8400000,31900000,10,2,18900000,10300000,22000000,9100000,1
1,1,1,5400000,19500000,18,3,12100000,800000,17000000,3500000,1
3,0,1,9400000,32100000,10,2,22700000,5800000,29400000,11400000,1
0,0,1,800000,2400000,4,1,500000,800000,2800000,500000,1
0,0,0,3800000,14800000,10,1,5900000,5700000,9500000,4600000,0
4,1,0,3100000,6300000,4,1,8600000,4100000,8800000,2800000,0
3,0,1,6000000,21300000,4,4,4700000,8900000,17300000,7600000,1
2,0,1,6800000,15500000,12,1,9900000,1200000,21800000,8500000,0
5,0,0,5200000,11700000,6,3,8100000,5100000,11400000,5600000,1
0,0,0,1900000,6700000,12,2,3000000,3200000,4900000,1700000,1
5,1,1,3600000,8500000,20,2,4400000,6400000,7400000,4500000,1
3,1,1,1500000,4100000,14,2,600000,2000000,4800000,2100000,1
3,0,0,2000000,5800000,8,4,3000000,3100000,5500000,1000000,1
5,1,0,9200000,18600000,20,1,1000000,300000,24200000,10700000,0
0,0,1,6100000,15900000,18,1,12900000,10800000,19100000,8800000,0
5,0,0,300000,500000,8,1,400000,300000,1200000,200000,0
1,1,0,800000,2300000,10,4,900000,900000,2900000,1100000,1
0,0,0,3300000,9000000,16,4,3000000,6400000,10300000,3300000,1
1,0,0,5800000,18700000,20,2,14100000,3000000,15600000,6000000,1
5,0,0,8500000,23400000,16,2,25100000,16500000,24500000,4800000,1
0,0,1,4100000,12800000,8,4,3700000,700000,9400000,2700000,1
2,1,0,7800000,26400000,4,4,2200000,8400000,16600000,6700000,1
0,1,0,7500000,23000000,14,3,8900000,4800000,20200000,7100000,1
2,1,0,2300000,8800000,18,1,1800000,800000,5200000,1500000,0
4,1,1,600000,2300000,6,1,1700000,600000,2000000,300000,0
1,0,0,2900000,11500000,20,1,3600000,3800000,5900000,3100000,0
5,0,0,900000,2200000,2,1,600000,1700000,2900000,700000,0
5,1,1,9000000,20400000,6,1,5200000,11400000,28200000,9000000,0
1,0,0,4800000,14300000,4,1,12400000,7900000,17700000,3600000,0
1,1,0,1600000,4600000,12,1,800000,600000,3900000,1500000,0
3,0,0,2600000,8100000,12,1,7300000,1900000,6800000,2200000,0
4,1,1,1800000,4600000,14,1,1700000,2400000,4700000,1600000,0
5,1,1,4400000,11800000,20,2,5900000,7300000,15200000,4300000,1
2,0,0,200000,300000,20,1,0,0,400000,300000,0
4,0,1,800000,2100000,6,1,700000,300000,2900000,1200000,0
3,1,0,1500000,3200000,4,4,2000000,400000,3700000,1400000,1
0,0,1,7700000,16900000,14,1,22100000,4000000,29000000,6400000,0
5,1,1,7200000,21300000,2,4,9900000,1700000,20400000,7200000,1
4,1,0,1000000,2300000,16,1,200000,100000,2000000,1000000,0
1,1,0,6300000,17200000,12,3,10100000,4200000,24700000,8500000,1
3,1,0,1900000,4100000,12,4,4600000,1100000,5300000,2100000,1
5,1,0,4400000,15300000,4,1,200000,5400000,17500000,2400000,1
0,0,0,9100000,26400000,6,1,15800000,1100000,35300000,5700000,0
2,1,1,900000,2300000,20,1,0,1200000,3400000,1300000,0
0,1,1,4600000,12000000,12,1,4500000,700000,16200000,3600000,0
2,1,1,9400000,22700000,14,1,4000000,16900000,24700000,11500000,0
5,1,0,6900000,26500000,16,1,20500000,9800000,17100000,9400000,0
2,1,0,300000,900000,8,3,800000,400000,500000,100000,1
5,1,1,1900000,6700000,2,2,4200000,200000,3900000,1700000,1
4,1,1,4400000,16400000,6,1,5400000,7500000,13100000,5700000,0
4,0,1,1200000,4100000,16,2,900000,900000,2300000,900000,1
1,1,1,1000000,3000000,10,4,2900000,500000,3300000,800000,1
0,1,0,3100000,10400000,18,2,1300000,5000000,7200000,1600000,1
1,1,1,2100000,6300000,16,4,2400000,2200000,4400000,2200000,1
0,0,0,2100000,4700000,2,1,4000000,1300000,8100000,1200000,0
4,1,0,9400000,33300000,18,1,20600000,5600000,32200000,7200000,0
2,0,0,9700000,37700000,6,2,300000,3100000,23800000,11800000,1
4,1,0,1400000,2700000,18,3,600000,1300000,5400000,900000,1
2,0,0,4700000,14600000,20,2,8200000,6000000,14100000,6800000,1
3,0,1,4100000,13300000,10,3,1900000,5500000,13200000,6100000,1
4,0,1,1200000,2800000,6,1,3300000,300000,4200000,1400000,0
5,0,0,7900000,27800000,16,4,23300000,12500000,17200000,10600000,1
2,0,0,6600000,15000000,16,1,13600000,6600000,23500000,3300000,0
0,0,0,2200000,8800000,4,1,1600000,2300000,8300000,2000000,1
3,0,0,5500000,17600000,8,4,5800000,7800000,20300000,3100000,1
4,1,0,5100000,15500000,8,1,6700000,8100000,13600000,6700000,0
2,0,1,3900000,7700000,10,1,9700000,7500000,14100000,2100000,0
5,1,0,200000,400000,6,3,300000,300000,400000,100000,1
4,1,0,5800000,14700000,10,3,2300000,10100000,17700000,3900000,1
5,0,0,8300000,20700000,2,1,8400000,14300000,19700000,7800000,0
5,1,1,2600000,5500000,8,3,6700000,800000,7200000,1300000,1
1,1,0,2100000,8100000,6,4,4600000,2900000,4900000,2900000,1
4,0,0,3900000,10800000,20,1,4700000,1600000,14500000,2300000,0
1,1,1,5200000,16300000,6,1,11000000,3400000,20700000,4600000,0
3,0,1,7800000,24400000,20,1,6700000,5100000,17700000,4100000,0
3,0,1,5400000,14300000,4,2,4100000,2800000,19300000,4900000,1
2,0,0,2900000,11000000,2,4,4900000,3200000,11500000,1400000,1
4,1,0,7100000,28300000,6,4,5600000,7100000,26000000,9700000,1
1,1,1,800000,2500000,4,1,1300000,1000000,3100000,900000,1
5,1,1,3400000,12800000,10,4,9800000,4300000,11000000,4600000,1
1,1,1,6800000,17600000,14,1,5500000,5600000,18100000,7700000,0
4,1,1,7000000,27100000,12,4,8300000,9400000,17200000,9500000,1
0,1,1,9300000,24500000,10,2,20200000,700000,32600000,5400000,1
2,1,0,7500000,19900000,10,4,3500000,13000000,19900000,5900000,1
3,1,1,8000000,31200000,20,1,7300000,8400000,16000000,6000000,0
5,1,1,1600000,4100000,2,3,1400000,1000000,4200000,1000000,1
1,1,1,6700000,18800000,6,4,8700000,5900000,18000000,6100000,1
3,0,0,3800000,11400000,4,1,5800000,4000000,9600000,4400000,1
1,0,1,2700000,5400000,6,1,4800000,1500000,6100000,2600000,0
3,1,0,1300000,2900000,8,3,3800000,1900000,3800000,1800000,1
4,0,0,3400000,10500000,16,1,3100000,4500000,11100000,4500000,0
3,1,0,3400000,10900000,14,4,5400000,1600000,7700000,3000000,1
5,1,1,2400000,6800000,8,1,1900000,1300000,9500000,1900000,0
0,0,0,1900000,6900000,4,3,2100000,3700000,4300000,2200000,1
4,1,0,700000,2200000,6,3,300000,200000,2500000,300000,1
1,0,0,6900000,20900000,4,2,3200000,1800000,25000000,5200000,1
5,1,1,300000,800000,18,4,400000,200000,900000,400000,1
3,0,0,6000000,18700000,10,1,6600000,6200000,23300000,6700000,0
1,0,0,4300000,16400000,20,1,6700000,6200000,10200000,5700000,0
4,1,0,5800000,13500000,14,4,13800000,9300000,20400000,7900000,1
2,1,1,3300000,6700000,8,4,1300000,4600000,12300000,3200000,1
2,0,0,400000,1500000,4,3,700000,500000,1200000,300000,1
5,0,0,300000,600000,4,1,500000,200000,700000,200000,0
1,0,0,4200000,10700000,6,1,7400000,7000000,14000000,4700000,0
2,0,1,600000,2300000,12,1,400000,900000,1200000,400000,0
5,0,1,4400000,15200000,6,1,9500000,2200000,16700000,5800000,0
0,1,1,9200000,29400000,2,4,9200000,13800000,32000000,5300000,1
2,1,1,6900000,25300000,4,4,9000000,3600000,21300000,5500000,1
5,0,1,5100000,13700000,14,1,12100000,8900000,19400000,4700000,0
4,1,0,3400000,12700000,2,3,3300000,6100000,7700000,3700000,1
4,0,1,8600000,26800000,12,4,7400000,2800000,32100000,11700000,1
3,0,1,9200000,28900000,8,1,13900000,8300000,32400000,4900000,0
5,1,1,4800000,16300000,4,1,8800000,2300000,10000000,2800000,1
4,0,0,2800000,8300000,14,1,3200000,1100000,9100000,1500000,0
1,1,1,3400000,7000000,4,1,3100000,1600000,13000000,4000000,0
5,0,1,800000,2200000,14,2,2200000,1200000,1700000,1100000,1
1,0,0,4100000,11100000,6,1,12000000,2900000,9000000,5900000,0
0,0,0,1900000,3800000,16,1,800000,500000,4000000,2100000,0
5,1,1,6700000,25400000,14,4,10300000,8100000,18500000,3900000,1
0,1,0,5200000,13400000,2,1,12000000,7900000,20400000,6200000,0
3,1,1,6700000,16400000,2,1,4400000,10900000,25300000,9200000,0
1,0,1,4700000,15000000,20,4,2100000,2500000,10100000,3800000,1
0,0,0,6000000,22000000,12,4,1400000,2000000,14100000,7000000,1
5,0,1,6500000,18900000,12,1,5100000,1900000,18200000,7800000,0
3,1,0,500000,2000000,12,4,800000,700000,1800000,400000,1
4,0,0,5700000,13300000,2,1,9400000,3000000,11800000,8200000,0
4,0,1,6800000,20000000,12,3,20200000,10900000,26900000,6600000,1
5,0,0,3100000,12300000,18,4,4900000,1900000,6100000,2800000,1
3,0,0,5100000,11000000,16,4,11800000,2900000,12900000,2700000,1
1,0,1,6300000,23900000,10,4,16300000,4900000,16800000,4500000,1
5,1,1,4400000,14100000,10,3,5300000,4900000,17500000,2600000,1
1,0,0,8100000,21900000,6,4,15100000,5400000,27500000,6600000,1
1,0,0,1100000,3700000,2,1,200000,0,2200000,1300000,1
0,1,1,2400000,6900000,4,2,5100000,4500000,6000000,3400000,1
3,1,1,7000000,26300000,12,1,14300000,12800000,15100000,9900000,0
1,1,1,8700000,30000000,12,1,21900000,12700000,30600000,12700000,0
0,0,1,3500000,12600000,10,1,1200000,2500000,10400000,3600000,0
1,1,1,1600000,5300000,4,3,1400000,1400000,4900000,1300000,1
5,0,1,7800000,17300000,16,1,800000,4500000,16300000,9300000,0
2,0,0,3700000,9200000,10,4,8500000,2000000,10200000,3100000,1
4,1,0,400000,1400000,18,4,-100000,0,900000,600000,1
0,0,0,4800000,15700000,10,1,4900000,7400000,17100000,6400000,0
0,1,1,2900000,7500000,18,3,3200000,300000,7500000,4000000,1
5,1,1,5000000,14600000,18,1,11800000,2500000,19800000,4900000,0
0,1,1,7600000,18100000,16,1,12800000,5900000,29800000,10600000,0
1,1,0,3000000,9400000,4,2,600000,3500000,9600000,2000000,1
3,0,1,200000,700000,18,1,400000,100000,500000,0,0
5,0,1,6800000,19000000,8,4,9500000,7200000,25000000,6300000,1
5,0,1,9700000,27400000,2,1,0,18400000,22000000,7900000,0
0,1,1,1200000,4200000,4,4,2800000,2200000,2800000,1500000,1
5,0,1,7400000,24000000,16,4,4300000,6700000,20600000,8700000,1
4,1,0,6900000,20800000,4,4,2600000,2400000,16100000,7400000,1
0,0,1,9100000,23300000,18,1,17700000,2500000,33800000,6400000,0
0,1,1,1300000,4700000,16,1,3200000,1000000,3800000,800000,0
3,1,0,6600000,14600000,10,4,15300000,12100000,14800000,6000000,1
3,0,1,1800000,5700000,14,3,5300000,3100000,3500000,2700000,1
5,0,1,8200000,20900000,14,3,11400000,4800000,26000000,8400000,1
4,0,0,2800000,8300000,14,1,4900000,2600000,7100000,3700000,0
1,1,1,7000000,16000000,4,2,13000000,8600000,26600000,7900000,1
4,1,0,700000,1800000,18,3,400000,1300000,2200000,600000,1
0,0,0,7400000,25500000,6,1,2300000,5600000,26800000,8400000,0
5,0,1,2300000,5000000,10,1,300000,3700000,8700000,2900000,0
1,1,1,600000,1900000,8,1,1200000,100000,1600000,300000,0
5,1,0,1000000,3000000,4,4,2800000,1100000,2000000,1100000,1
1,0,1,2200000,5200000,8,1,2900000,100000,5000000,2300000,0
1,0,0,8000000,30900000,2,1,23500000,1200000,19500000,7300000,1
4,0,0,8600000,20900000,10,4,24300000,7200000,23700000,9900000,1
3,0,1,7500000,26000000,2,1,13900000,1900000,26900000,11200000,1
5,0,1,5200000,11800000,18,3,14300000,5100000,15500000,4500000,1
2,0,0,7900000,20900000,2,3,1700000,1800000,16300000,7100000,1
1,1,1,4200000,11300000,4,3,4700000,2800000,14900000,4000000,1
0,1,0,6500000,20200000,16,4,8300000,12200000,14300000,9600000,1
0,1,1,7400000,15200000,12,2,6200000,8500000,18800000,4100000,1
3,0,0,9100000,25600000,12,3,8900000,16300000,27900000,11100000,1
0,0,0,800000,2300000,16,3,1800000,600000,2000000,400000,1
1,1,1,800000,2800000,10,4,1300000,1300000,2500000,400000,1
5,1,1,4100000,9900000,4,1,7600000,7400000,12000000,5500000,0
5,1,1,4200000,8700000,6,2,6000000,800000,8500000,2500000,1
3,1,1,4800000,11500000,12,1,3600000,8000000,15600000,5400000,0
3,0,1,8300000,25900000,8,3,14400000,12200000,23500000,7100000,1
4,0,0,7600000,23900000,8,3,2500000,1600000,20200000,6700000,1
4,1,0,5100000,12300000,20,1,9200000,9200000,18700000,5600000,0
5,1,0,3600000,11600000,14,1,8500000,300000,12000000,4800000,0
3,0,1,5400000,16800000,16,2,10700000,6400000,13400000,7000000,1
5,0,0,700000,1400000,4,1,1500000,800000,2600000,300000,0
2,0,1,9800000,38200000,10,3,5400000,14800000,24300000,5300000,1
4,1,0,9700000,36400000,4,4,13800000,11300000,38100000,13500000,1
0,1,1,9400000,29900000,12,1,12300000,1500000,35700000,8200000,0
3,1,1,3200000,9100000,18,1,4500000,800000,9000000,1700000,0
0,1,1,3700000,11600000,10,3,0,4500000,9000000,3500000,1
2,1,1,4200000,15800000,6,3,12300000,3700000,12600000,4600000,1
2,0,0,7000000,24200000,6,4,20600000,500000,21400000,9200000,1
3,0,0,3200000,11500000,16,1,4800000,2300000,10400000,3200000,0
5,1,0,7900000,17700000,2,2,19700000,2800000,28900000,5400000,1
3,0,0,2200000,8300000,18,1,1100000,900000,5800000,2000000,0
0,1,1,2700000,8400000,6,3,1200000,4100000,7500000,2000000,1
5,0,0,6800000,18000000,12,3,17800000,11800000,25000000,9300000,1
3,1,1,6300000,23300000,4,1,18300000,12200000,21100000,8100000,1
5,1,1,9000000,31400000,2,3,12000000,10800000,20700000,8700000,1
1,1,0,4700000,15700000,4,1,13300000,5100000,16200000,3600000,1
2,0,0,8100000,17500000,4,3,10800000,12700000,23200000,9300000,1
2,0,0,9000000,27300000,14,1,22600000,4400000,26900000,7200000,0
4,0,0,3800000,14100000,8,3,3900000,4900000,8200000,5400000,1
4,0,1,8800000,22200000,10,1,6800000,4000000,31900000,9900000,0
3,0,1,8700000,27200000,18,1,9100000,9300000,30900000,12000000,0
5,0,0,5000000,12400000,14,1,7400000,8600000,17000000,4000000,0
0,0,1,6000000,22700000,10,1,200000,11900000,13700000,8700000,0
2,1,1,9100000,24200000,16,3,25600000,1900000,31100000,9100000,1
1,1,0,7400000,17900000,6,1,2600000,1300000,25900000,5000000,0
1,0,1,8300000,28400000,16,3,1400000,11700000,16900000,11400000,1
1,1,1,7600000,23900000,12,3,500000,12200000,27000000,5000000,1
1,0,1,3500000,9600000,4,1,1700000,6000000,7900000,4600000,0
5,1,1,1000000,3500000,18,4,900000,500000,2900000,600000,1
5,1,1,9900000,25900000,4,4,7800000,200000,38000000,5400000,1
2,1,1,5700000,15100000,18,1,5900000,3800000,16600000,6200000,0
5,1,0,700000,2400000,16,1,1300000,700000,2600000,800000,0
0,0,1,9600000,23800000,12,4,9900000,14400000,21200000,10400000,1
1,0,0,9300000,28900000,6,1,11100000,1600000,19700000,11000000,0
0,1,0,9500000,28400000,18,2,6200000,10300000,30200000,14100000,1
4,1,1,8700000,23400000,16,1,10600000,11700000,20000000,8000000,0
5,1,1,7300000,21000000,14,4,15500000,8000000,20300000,10800000,1
3,1,1,4100000,12700000,10,1,6400000,1900000,14100000,3200000,0
2,1,0,2900000,10200000,4,4,1200000,4100000,6100000,3600000,1
3,1,1,7500000,17900000,2,3,7000000,11800000,25000000,6300000,1
1,1,0,7900000,25700000,20,3,14900000,3000000,18100000,8800000,1
1,1,1,6900000,22300000,16,3,17400000,100000,21300000,9000000,1
0,0,0,6900000,22900000,10,1,5600000,9300000,26200000,8000000,0
0,0,0,4800000,18800000,16,2,7900000,9400000,17300000,5500000,1
5,1,1,7700000,24400000,8,1,1400000,7700000,22000000,10000000,0
3,0,0,6900000,22700000,4,3,900000,13400000,15500000,6400000,1
1,0,0,1200000,4500000,4,1,3200000,1800000,2900000,1200000,1
1,1,0,2900000,9600000,4,3,8200000,4300000,7000000,2700000,1
4,1,1,5500000,18900000,6,1,13900000,9100000,18500000,3100000,0
4,1,1,3200000,10700000,4,1,7300000,3000000,8200000,1800000,1
5,0,0,2600000,8200000,4,4,7400000,2000000,8900000,2700000,1
0,1,0,500000,1600000,18,4,1400000,400000,1000000,200000,1
0,1,0,1800000,6900000,10,4,900000,400000,3700000,1700000,0
0,0,0,1300000,4900000,12,2,2400000,1200000,4100000,1700000,1
1,0,0,9900000,20700000,20,4,12700000,8200000,38100000,11100000,1
0,0,0,2000000,4700000,2,4,4700000,500000,7900000,1200000,1
1,0,0,5100000,15300000,4,3,7000000,6100000,15300000,5900000,1
4,1,1,8200000,24000000,20,4,23000000,3000000,24800000,5400000,1
5,0,0,4200000,12600000,18,2,8900000,3200000,11700000,6200000,1
2,0,1,1300000,4900000,8,2,2100000,1800000,3400000,1700000,1
1,0,1,4600000,13600000,18,1,11200000,8500000,15500000,5400000,0
1,0,0,6600000,19700000,12,4,16000000,4400000,18800000,9500000,1
2,1,1,8300000,30100000,16,2,5200000,5100000,33100000,7200000,1
0,1,0,6900000,20700000,16,4,17100000,13700000,14600000,8800000,1
4,1,1,4700000,12500000,8,3,13700000,200000,9800000,7000000,1
1,1,0,7900000,15800000,8,2,800000,3500000,18700000,8300000,1
3,0,0,8800000,24900000,16,3,16700000,17200000,30000000,10500000,1
1,1,0,6500000,23400000,2,3,5000000,10400000,16700000,7600000,1
3,0,0,3500000,13700000,4,1,5200000,2800000,13000000,4400000,1
2,0,1,8200000,19600000,16,2,11500000,2300000,28800000,10700000,1
0,0,1,2000000,6000000,14,1,1500000,1400000,5900000,2900000,0
5,0,0,2700000,8200000,2,4,7000000,1000000,6200000,1500000,1
0,1,1,5300000,17600000,4,4,2000000,10200000,19700000,7700000,1
2,0,0,9900000,19900000,6,1,21400000,2200000,31400000,11000000,0
2,0,1,5000000,19500000,14,4,3100000,4700000,9900000,6500000,1
2,0,0,9100000,18600000,20,1,18400000,11700000,20300000,9200000,0
3,0,1,7600000,26400000,14,4,9200000,700000,27900000,7400000,1
0,1,0,5200000,17800000,18,2,8300000,5400000,13000000,3100000,1
5,1,0,1800000,6000000,4,1,1400000,2400000,6500000,2600000,1
0,0,0,7300000,28200000,16,1,15300000,8800000,16400000,7700000,0
4,1,0,3200000,11600000,6,2,3300000,4600000,6500000,3900000,1
5,1,0,5200000,20700000,2,1,3200000,2000000,14600000,3600000,1
4,0,0,7100000,28200000,14,1,6300000,10900000,27700000,4600000,0
4,1,1,1400000,4800000,6,1,1400000,300000,4400000,1600000,0
4,0,0,2700000,10700000,6,4,7400000,4200000,8200000,2800000,1
5,1,1,6500000,18100000,10,1,15700000,10600000,20200000,6100000,0
4,1,0,9300000,35900000,18,1,9800000,12700000,26200000,11400000,0
0,1,1,6700000,14900000,16,2,3300000,6900000,22300000,8100000,1
5,1,0,6800000,19300000,6,4,12100000,100000,22900000,9000000,1
5,0,0,5600000,13600000,4,1,5900000,5700000,18800000,4300000,0
1,0,1,1900000,4700000,2,4,4700000,2300000,3900000,2300000,1
5,0,0,8400000,19500000,6,4,5300000,2500000,24000000,7200000,1
2,0,1,2500000,7200000,16,1,4200000,1000000,7100000,2100000,0
1,0,1,2900000,9900000,18,4,1300000,100000,11000000,2600000,1
3,1,1,3200000,7400000,2,1,3600000,4500000,11200000,4600000,0
4,0,1,3000000,10900000,2,4,7600000,3300000,8000000,3200000,1
3,1,1,800000,2500000,20,1,1500000,300000,1600000,500000,0
2,0,1,400000,1300000,2,4,200000,300000,1100000,500000,1
2,0,0,4400000,10600000,20,1,10800000,2400000,13200000,4600000,0
2,0,1,8700000,19900000,10,4,7500000,10500000,20200000,8400000,1
4,0,0,7400000,15400000,6,3,22000000,13500000,28900000,7400000,1
4,0,1,5700000,14400000,12,2,14500000,8600000,12900000,4700000,1
5,0,1,9700000,27600000,10,4,9400000,3100000,31800000,10600000,1
2,0,0,7000000,22400000,6,2,12200000,9900000,17800000,8900000,1
2,0,0,8900000,23100000,4,1,22800000,500000,25200000,4700000,0
3,1,1,3100000,11200000,14,4,3400000,5800000,8300000,2100000,1
4,1,0,2200000,6100000,12,1,5500000,2900000,5000000,2200000,0
5,0,1,7100000,21500000,4,2,8900000,8000000,26400000,4000000,1
4,1,1,8200000,19000000,6,1,24500000,6800000,28600000,10200000,0
3,1,1,9800000,28400000,12,1,8900000,15400000,30800000,11100000,0
2,1,1,3900000,9700000,8,1,4400000,7600000,7900000,5100000,0
2,1,1,2200000,8100000,8,3,500000,2900000,7300000,1000000,1
5,0,1,600000,1700000,20,4,1100000,100000,2300000,700000,1
4,0,1,6900000,22000000,10,1,6100000,9100000,20600000,3900000,0
2,1,1,7400000,27300000,18,2,12600000,400000,27100000,9600000,1
3,0,1,4000000,11600000,6,1,5900000,2600000,12100000,4700000,0
3,0,1,700000,2000000,18,1,800000,1300000,1500000,400000,0
2,0,1,1900000,4600000,16,2,3200000,2700000,4500000,2700000,1
2,1,0,2200000,6800000,20,1,4600000,200000,4500000,2200000,0
1,1,1,2000000,5600000,14,2,5000000,1100000,7900000,1600000,1
4,0,0,7400000,17900000,6,1,13400000,12300000,22400000,4700000,0
2,0,1,2300000,9000000,6,2,3600000,1300000,6900000,3400000,1
5,0,1,4000000,15500000,12,1,0,600000,12100000,3500000,0
3,1,1,1500000,5800000,18,1,800000,1900000,4100000,1400000,0
2,0,1,5200000,12900000,18,2,400000,5000000,12000000,7500000,1
2,1,0,5400000,14500000,8,1,10800000,4800000,21100000,6600000,0
3,1,0,7700000,25300000,18,3,3400000,11400000,19100000,9900000,1
0,0,1,1900000,6400000,20,3,900000,3400000,5300000,1900000,1
4,0,1,6400000,15500000,2,1,18400000,11100000,13900000,4500000,0
5,1,0,700000,1700000,18,4,1900000,200000,2100000,600000,1
3,1,1,5800000,23000000,16,1,6000000,10100000,23000000,2800000,0
1,1,0,1800000,5400000,4,1,4400000,2000000,5600000,1800000,1
5,1,1,4300000,13800000,18,2,9600000,800000,14000000,2400000,1
4,1,0,8000000,27100000,8,1,16900000,10900000,25600000,8400000,0
0,0,0,1100000,4100000,18,4,400000,1300000,2600000,1300000,1
2,0,1,8800000,31100000,12,3,12300000,2400000,21900000,9400000,1
4,1,0,4800000,18600000,14,4,10800000,5800000,12700000,6500000,1
0,0,1,200000,700000,20,3,600000,0,500000,300000,1
5,1,1,1400000,2700000,16,1,900000,2500000,2700000,2000000,0
5,1,0,2500000,6400000,16,2,3200000,3900000,5800000,3500000,1
5,1,0,8100000,25300000,8,4,15900000,12600000,21500000,7800000,1
0,1,1,6100000,19200000,6,4,13900000,5900000,16700000,7600000,1
0,0,1,2000000,4600000,16,3,2100000,2400000,7200000,1600000,1
4,0,0,4800000,10100000,12,2,9200000,300000,15000000,6900000,1
4,1,1,900000,2800000,2,3,1200000,1400000,2400000,900000,1
4,0,0,1300000,3500000,12,1,3300000,1400000,3200000,700000,0
4,0,1,4200000,9100000,2,4,6700000,5300000,10900000,5900000,1
2,1,1,3300000,11100000,20,4,4600000,1500000,11700000,2900000,1
2,0,1,8700000,28400000,12,4,8000000,1800000,19400000,4400000,1
1,0,1,800000,2600000,2,1,600000,0,1800000,400000,1
5,1,1,7400000,17100000,2,1,14700000,1600000,20600000,10800000,0
3,0,0,6900000,18500000,6,1,14000000,0,18800000,9600000,0
1,1,1,8800000,33700000,14,2,10200000,7100000,25700000,11900000,1
2,1,1,8600000,32500000,4,4,20900000,600000,18000000,6900000,1
2,1,0,5400000,20600000,18,2,11200000,2200000,11600000,5500000,1
4,1,1,2900000,5900000,18,2,200000,3100000,8500000,3500000,1
3,1,0,9800000,21000000,12,1,25400000,16600000,26900000,7000000,0
4,1,0,3300000,10800000,4,2,4200000,900000,8600000,3300000,1
0,0,0,300000,500000,18,1,300000,0,800000,300000,0
0,1,0,1500000,4300000,12,4,4400000,2200000,3300000,1100000,1
3,0,1,5400000,16300000,4,1,1600000,3400000,13100000,6000000,1
0,1,0,6600000,15200000,18,1,1500000,6900000,14500000,9300000,0
0,1,0,5700000,17200000,8,1,4200000,7100000,14400000,2900000,0
3,0,1,8500000,26100000,2,3,6600000,10400000,24100000,5700000,1
0,1,0,7400000,24100000,16,4,800000,2900000,28900000,4900000,1
